p,ostatnia_cyfra_2^p_minus_1,najmniejszy_dzielnik_wlasciwy,pierwsze_przekroczenie_potegi_dwojki
10921,1,704161,False
10927,7,127,False
10931,7,131071,False
10933,1,233,False
10943,7,931921,False
10951,7,4513,False
10961,1,65993,False
10963,7,524287,False
10969,1,127,False
10991,7,233,False
10997,1,127,False
10999,7,131071,False
11017,1,178481,False
11021,1,162259276829213363391578010288127,False
11023,7,18121,False
11029,1,13822297,False
11039,7,127,False
11041,1,43441,False
11053,1,127,False
11063,7,8191,False
11081,1,127,False
11089,1,8191,False
11101,1,131071,False
11107,7,233,False
11123,7,127,False
11129,1,855857,False
11137,1,127,False
11141,1,6857,False
11147,7,48544121,False
11153,1,524287,False
11167,7,8191,False
11179,7,127,False
11183,7,6361,False
11191,7,524287,False
11201,1,178481,False
11203,7,131071,False
11207,7,127,False
11219,7,8191,False
11221,1,127,False
11233,1,1913,False
11237,1,131071,False
11249,1,127,False
11263,7,127,False
11267,7,104369,False
11281,1,233,False
11291,7,127,False
11293,1,178481,False
11303,7,618970019642690137449562111,False
11323,7,8191,False
11327,7,4513,False
11333,1,127,False
11339,7,233,False
11347,7,127,False
11357,1,1121297,False
11377,1,2147483647,False
11381,1,524287,False
11389,1,127,False
11401,1,8191,False
11413,1,65993,False
11417,1,127,False
11419,7,524287,False
11431,7,127,False
11441,1,131071,False
11449,1,162259276829213363391578010288127,False
11453,1,8191,False
11459,7,127,False
11461,1,2298041,False
11477,1,178481,False
11479,7,8191,False
11501,1,127,False
11509,1,131071,False
11513,1,233,False
11521,1,80929,False
11531,7,8191,False
11533,1,524287,False
11543,7,127,False
11557,1,127,False
11563,7,2147483647,False
11567,7,13822297,False
11569,1,178481,False
11573,1,704161,False
